,,,,,,,,,,,,,,,,,,
,,,,,OM SRI SAI AGENCIES,,,,,,,,,,,,,
,,,,,"NIRMAL, TELANGANA",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,CURRENT STOCK REPORT,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
S.No,,Bar Code,,Location,,Stock Code,,Stock Name,More Info,,Unit,,,Qty,,,,Rate
,,,,,,,,,,,,,,,,,,
1,6896,,,MainLocation,,0,,0,,,pcs,,,188 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
2,14875,,,MainLocation,,01016MKL,,BORE KIT S SPL GLMR BLK,,,pcs,,,0 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
3,15871,,,MainLocation,,01016MPLS,,BORE KIT SSPL SILVER,,,pcs,,,1 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
4,9082,,,MainLocation,,01018MKL,,BORE KIT SHINE BLK,,,pcs,,,2 pcs,,,,"3,262.00"
,,,,,,,,,,,,,,,,,,
5,15870,,,MainLocation,,01018MPL,,BORE KIT SHINE,,,pcs,,,1 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
6,6819,,,MainLocation,,01032GPL,,BORE KIT ACC 125 OM,,,pcs,,,0 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
7,9081,,,MainLocation,,01032MKL,,"BORE KIT SUZUKI ACCESS125,OM",,,pcs,,,1 pcs,,,,"2,777.00"
,,,,,,,,,,,,,,,,,,
8,18156,,,MainLocation,,01045MKL,,BORE KIT PHONEX 125,,,pcs,,,1 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
9,14876,,,MainLocation,,01050MKL,,BORE KIT DIS 100 CC,,,pcs,,,1 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
10,6820,,,MainLocation,,01063GPL,,BORE KIT ACC 125 NM,,,pcs,,,1 pcs,,,,"2,609.00"
,,,,,,,,,,,,,,,,,,
11,5390,,,MainLocation,,01100610,,MAGNET KEY,,,pcs,,,30 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
12,16965,,,MainLocation,,01100610-5_31,,KEY WOODRUFF,,,pcs,,,8 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
13,5538,,,MainLocation,,0116A001,,PLUG WIRE,,,pcs,,,8 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
14,1845,,,MainLocation,,0120B07:KT-1924HZ:01:0000807,,LOCK SET BOXER AR,,,pcs,,,6 pcs,,,,300.00
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
15,16032,,,MainLocation,,01210 K14 900,,BORE KIT DRM UGA,,,pcs,,,0 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
16,15119,,,MainLocation,,01210 KSP B00,,BORE KIT UNICORN,,,pcs,,,1 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
17,15120,,,MainLocation,,01210 KTE A00,,BORE KIT SHINE,,,pcs,,,0 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
18,17029,,,MainLocation,,01210 KTE A02,,BORE KIT SHINE,,,pcs,,,3 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
19,4484,,,MainLocation,,01210 KWP D00,,BORE PISTON ACT 3G,,,pcs,,,2 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
20,17755,,,MainLocation,,01210- kwp-d00,,"bore kit act 3g,4g",,,pcs,,,1 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
21,12863,,,MainLocation,,01210-K0L-D00,,BORE KIT ACT 125 6G,,,pcs,,,3 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
22,17004,,,MainLocation,,01210K0ND00,,BORE KIT SHINE,,,pcs,,,4 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
23,4957,,,MainLocation,,01210-K0N-D00,,BORE KIT SHINE BS6,,,pcs,,,4 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
24,5706,,,MainLocation,,01210K0PD00,,BORE KIT ACT,,,pcs,,,2 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
25,9995,,,MainLocation,,01210-K0P-D00,,BORE KIT ACT 6G,,,pcs,,,1 pcs,,,,"2,380.00"
,,,,,,,,,,,,,,,,,,
26,14718,,,MainLocation,,01210K0VD00,,BORE KIT SHINE BS6,,,pcs,,,1 pcs,,,,0.00
,,,,,,,,,,,,,,,,,,
27,4958,,,MainLocation,,01210-K0V-D00,,BORE KIT SHINE BS6,,,pcs,,,1 pcs,,,,"2,971.00"
,,,,,,,,,,,,,,,,,,
